ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
,20250918,394.21,429.99,389.21,409.4,406.2,3.2,0.7878,561607.86,22855123.991
,20250919,415.4,425.0,400.03,421.5,409.4,12.1,2.9555,466535.93,19367174.603
,20250922,417.29,421.8,394.68,418.0,421.5,-3.5,-0.8304,412684.76,16928692.918
,20250923,447.01,457.01,418.0,434.29,418.0,16.29,3.8971,534440.36,23278260.11
,20250924,416.01,435.0,410.0,423.5,434.29,-10.79,-2.4845,393385.86,16589365.257
,20250925,416.01,442.96,404.0,434.6,423.5,11.1,2.621,505591.51,21620180.903
,20250926,429.05,442.3,413.7,413.7,434.6,-20.9,-4.809,351118.15,14918149.499
,20250929,410.12,433.17,403.09,416.75,413.7,3.05,0.7372,429059.21,18029890.03
,20250930,418.51,435.0,398.06,403.68,416.75,-13.07,-3.1362,392893.31,16248125.252
,20251009,419.0,426.66,397.68,398.81,403.68,-4.87,-1.2064,390909.46,16122596.932
,20251010,399.01,407.8,381.01,390.0,398.81,-8.81,-2.2091,384285.92,15167250.787
,20251013,369.0,382.0,361.8,376.99,389.6,-12.61,-3.2367,409313.49,15302419.922
,20251014,385.0,385.94,344.0,346.1,376.99,-30.89,-8.1939,514339.07,18448572.395
,20251015,345.0,357.0,337.0,354.12,346.1,8.02,2.3172,353172.53,12275375.119
,20251016,351.14,379.3,350.03,366.97,354.12,12.85,3.6287,342568.18,12630929.312
,20251017,367.17,381.91,360.0,373.6,366.97,6.63,1.8067,467636.44,17358864.503
,20251020,408.19,421.21,395.58,403.0,373.6,29.4,7.8694,601550.62,24468412.27
,20251021,410.0,451.48,405.0,441.5,403.0,38.5,9.5533,565178.65,24436154.423
,20251022,436.09,457.5,436.09,444.3,441.5,2.8,0.6342,397499.1,17757275.763
,20251023,441.08,443.0,425.7,440.88,444.3,-3.42,-0.7698,276011.13,12011352.772
,20251024,450.0,495.65,437.1,494.0,440.88,53.12,12.0486,491025.26,23033970.651
,20251027,503.98,515.0,495.56,508.94,494.0,14.94,3.0243,450723.89,22787904.833
,20251028,503.3,536.0,501.0,513.0,508.94,4.06,0.7977,417960.87,21740189.239
,20251029,538.01,542.01,506.16,520.72,513.0,7.72,1.5049,417271.05,21670889.448
,20251030,516.51,538.0,509.0,514.74,520.72,-5.98,-1.1484,453309.84,23600113.527
,20251031,503.0,509.0,472.0,473.01,514.74,-41.73,-8.107,563012.79,27346603.031
,20251103,470.67,483.4,457.51,480.0,473.01,6.99,1.4778,398408.75,18730146.946
,20251104,489.6,504.29,473.88,477.8,480.0,-2.2,-0.4583,360853.68,17622196.968
,20251105,462.02,480.0,458.79,477.01,477.8,-0.79,-0.1653,264087.51,12390456.807
,20251106,488.0,507.88,482.27,496.88,477.01,19.87,4.1655,373251.44,18457495.763
,20251107,491.0,499.79,479.0,490.05,496.88,-6.83,-1.3746,243099.6,11923843.237
,20251110,488.88,495.88,460.0,490.0,490.05,-0.05,-0.0102,352110.79,16744462.629
,20251111,493.68,499.66,464.0,468.05,490.0,-21.95,-4.4796,325131.12,15621818.93
,20251112,459.63,492.39,450.01,491.75,468.05,23.7,5.0636,423022.25,19890723.54
,20251113,489.28,489.28,470.01,481.0,491.75,-10.75,-2.1861,313317.46,15002143.508
,20251114,465.18,473.88,454.22,462.82,481.0,-18.18,-3.7796,247272.66,11512786.152
,20251117,475.2,488.64,468.4,483.2,462.82,20.38,4.4034,282466.26,13512966.106
,20251118,474.7,490.8,470.01,472.91,483.2,-10.29,-2.1296,240678.56,11554982.045
,20251119,472.43,499.7,472.0,488.6,472.91,15.69,3.3178,337865.39,16542781.774
,20251120,515.0,522.38,490.33,492.0,488.6,3.4,0.6959,353522.07,17783386.638
,20251121,472.99,483.0,460.0,464.01,492.0,-27.99,-5.689,414122.8,19479251.604
,20251124,470.0,476.99,436.96,456.8,464.01,-7.21,-1.5538,464258.0,21222535.81
,20251125,477.01,494.8,470.01,479.66,456.8,22.86,5.0044,439364.81,21131904.345
,20251126,475.2,556.88,470.4,543.22,479.66,63.56,13.2511,628951.48,32975131.626
,20251127,537.0,558.77,523.36,524.0,543.22,-19.22,-3.5382,437327.67,23641332.187
,20251128,527.2,529.8,508.6,514.5,524.0,-9.5,-1.813,324657.3,16750682.587
,20251201,524.0,546.5,515.0,538.0,514.5,23.5,4.5675,372867.05,19884723.666
,20251202,542.0,551.13,535.5,542.0,538.0,4.0,0.7435,271615.33,14774407.355
,20251203,540.54,558.58,522.11,523.73,542.0,-18.27,-3.3708,368327.52,19817626.71
,20251204,517.37,536.53,512.34,535.5,523.73,11.77,2.2473,263194.47,13837413.1
,20251205,539.53,545.0,525.0,537.05,535.5,1.55,0.2894,282825.91,15166870.065
,20251208,543.0,585.0,539.0,570.0,537.05,32.95,6.1354,408224.4,23130085.523
,20251209,570.09,613.0,568.54,606.0,570.0,36.0,6.3158,371293.33,22178752.621
,20251210,609.06,620.0,589.5,616.0,606.0,10.0,1.6502,302094.33,18313255.433
,20251211,610.0,627.11,585.91,586.81,616.0,-29.19,-4.7386,363531.25,22007836.033
,20251212,587.0,603.88,570.22,582.0,586.81,-4.81,-0.8197,468789.24,27362453.086
,20251215,570.0,588.0,568.0,570.86,582.0,-11.14,-1.9141,300987.36,17331138.639
,20251216,568.8,575.0,545.01,551.79,570.86,-19.07,-3.3406,279702.37,15609524.937
,20251217,557.0,592.07,556.66,589.98,551.79,38.19,6.9211,323570.08,18602336.343
,20251218,576.99,579.87,563.43,571.2,589.98,-18.78,-3.1832,241628.87,13813326.874
,20251219,583.34,587.0,570.28,571.7,571.2,0.5,0.0875,224429.14,12979061.283
,20251222,590.01,622.0,590.01,617.5,571.7,45.8,8.0112,394411.67,23897727.826
,20251223,625.0,628.99,614.0,621.0,617.5,3.5,0.5668,233642.01,14498372.815
,20251224,627.64,638.0,617.6,634.4,621.0,13.4,2.1578,235091.26,14752690.734
,20251225,645.0,658.8,618.41,639.8,634.4,5.4,0.8512,259387.11,16554891.81
,20251226,628.3,636.95,618.0,627.0,639.8,-12.8,-2.0006,213761.84,13392778.802
,20251229,627.64,633.69,612.73,618.0,627.0,-9.0,-1.4354,241125.83,14961103.073
,20251230,618.1,644.34,615.0,632.0,618.0,14.0,2.2654,261145.4,16460770.395
,20251231,629.0,633.0,608.0,610.0,632.0,-22.0,-3.481,225604.12,13944071.968
,20260105,621.08,627.29,600.17,623.51,610.0,13.51,2.2148,302041.57,18658748.248
,20260106,606.0,615.8,590.2,605.25,623.51,-18.26,-2.9286,335583.27,20243859.699
,20260107,616.8,628.0,602.0,619.6,605.25,14.35,2.3709,280014.55,17281311.977
,20260108,611.1,616.0,592.0,595.45,619.6,-24.15,-3.8977,291961.68,17523125.451
,20260109,575.94,595.0,561.61,583.2,595.45,-12.25,-2.0573,385723.37,22201259.67
,20260112,570.0,600.0,558.85,591.97,583.2,8.77,1.5038,383607.52,22117906.764
,20260113,580.8,616.6,580.01,585.76,591.97,-6.21,-1.049,320559.44,19108309.974
,20260114,595.35,600.88,567.01,593.0,585.76,7.24,1.236,417329.94,24433697.896
,20260115,583.2,636.99,581.02,625.02,593.0,32.02,5.3997,459038.24,27888274.549
,20260116,635.97,645.0,615.02,617.0,625.02,-8.02,-1.2832,372723.76,23373957.057
,20260119,605.0,619.0,602.57,605.5,617.0,-11.5,-1.8639,223078.62,13561463.232
,20260120,605.52,608.0,580.0,585.0,605.5,-20.5,-3.3856,262900.35,15451090.11
,20260121,586.24,599.66,581.0,581.9,585.0,-3.1,-0.5299,250959.0,14836515.565
,20260122,590.08,624.5,585.0,621.0,581.9,39.1,6.7194,401944.25,24274588.606
,20260123,614.0,615.0,580.16,585.0,621.0,-36.0,-5.7971,396560.41,23458779.409
,20260126,580.0,598.0,572.01,589.8,585.0,4.8,0.8205,260881.15,15300491.053
,20260127,589.96,630.0,586.7,615.6,589.8,25.8,4.3744,387286.71,23794065.735
,20260128,632.0,644.98,623.0,628.0,615.6,12.4,2.0143,329263.75,20818996.207
,20260129,637.0,637.95,610.11,613.85,628.0,-14.15,-2.2532,248940.4,15437115.006
,20260130,616.2,653.58,605.93,649.0,613.85,35.15,5.7262,357592.0,22650812.275
,20260202,635.01,658.58,591.0,591.0,649.0,-58.0,-8.9368,559980.48,34642172.763
,20260203,607.0,618.8,576.0,589.7,591.0,-1.3,-0.22,429180.19,25546318.135
,20260204,570.0,574.55,525.13,560.0,589.7,-29.7,-5.0365,527210.01,29004521.608
,20260205,561.01,577.75,556.01,561.99,560.0,1.99,0.3554,318675.15,18014061.308
,20260206,548.11,561.88,530.3,540.01,561.99,-21.98,-3.9111,328675.9,17909389.389
,20260209,561.0,573.99,550.12,565.99,540.01,25.98,4.811,366633.37,20565541.886
,20260210,561.55,573.68,555.5,555.71,565.99,-10.28,-1.8163,217158.25,12239667.575
,20260211,551.01,554.0,522.53,531.91,555.71,-23.8,-4.2828,397135.51,21161447.644
,20260212,535.0,546.38,523.38,527.46,531.91,-4.45,-0.8366,301786.11,16055660.076
,20260213,524.0,543.8,515.0,531.0,527.46,3.54,0.6711,260436.1,13816376.824
,20260224,542.0,572.02,522.0,554.0,531.0,23.0,4.3315,356557.53,19693436.145
,20260225,550.0,569.86,548.0,566.07,554.0,12.07,2.1787,214792.09,11999241.088
,20260226,566.07,574.0,559.0,572.22,566.07,6.15,1.0864,252799.91,14340448.873
,20260227,555.0,559.98,531.11,534.0,572.22,-38.22,-6.6792,347124.7,18806220.503
,20260302,520.0,580.0,520.0,570.58,534.0,36.58,6.8502,493103.42,27557516.445
,20260303,570.8,599.04,563.28,563.8,570.58,-6.78,-1.1883,393101.0,22869564.246
,20260304,554.02,563.5,536.5,539.0,563.8,-24.8,-4.3987,307429.45,16777788.85
,20260305,556.0,585.0,552.6,557.0,539.0,18.0,3.3395,379003.6,21444655.496
,20260306,553.0,559.98,537.06,545.48,557.0,-11.52,-2.0682,219667.67,12028188.486
,20260309,520.1,528.3,506.0,525.99,545.48,-19.49,-3.573,314743.15,16230653.69
,20260310,540.0,548.98,530.02,547.0,525.99,21.01,3.9944,283094.14,15348948.106
,20260311,557.0,568.9,553.0,554.68,547.0,7.68,1.404,238971.7,13412042.199
,20260312,557.25,563.58,528.5,534.8,554.68,-19.88,-3.584,239117.26,12905792.455
,20260313,526.5,548.88,525.01,542.02,534.8,7.22,1.35,211981.69,11483224.115
,20260316,549.05,565.0,540.32,561.7,542.02,19.68,3.6309,274319.81,15210952.033
,20260317,570.0,577.88,539.0,543.0,561.7,-18.7,-3.3292,300409.84,16803741.8
,20260318,553.86,582.05,550.0,580.0,543.0,37.0,6.814,377804.87,21435555.273
,20260319,580.0,592.8,569.9,575.2,580.0,-4.8,-0.8276,331407.56,19280585.871
,20260320,605.0,632.72,604.1,612.0,575.2,36.8,6.3978,538539.42,33344122.514
,20260323,590.31,618.1,585.0,599.62,612.0,-12.38,-2.0229,378519.91,22741347.135
,20260324,599.0,605.0,577.0,603.19,599.62,3.57,0.5954,282635.65,16716920.528
,20260325,625.0,635.0,616.05,628.4,603.19,25.21,4.1794,335631.26,21048050.378
,20260326,626.89,645.0,612.83,614.2,628.4,-14.2,-2.2597,262769.23,16491318.31
,20260327,598.85,609.88,588.66,598.0,614.2,-16.2,-2.6376,224326.03,13421963.396
,20260330,585.0,595.58,579.0,589.08,598.0,-8.92,-1.4916,209254.8,12283293.316
,20260331,571.0,585.9,555.0,569.41,589.08,-19.67,-3.3391,261202.31,14942137.037
,20260401,591.0,602.0,581.2,601.87,569.41,32.46,5.7006,255404.72,15121134.057
,20260402,593.01,596.77,578.69,582.0,601.87,-19.87,-3.3014,177310.14,10393303.258
,20260403,600.0,625.0,594.35,606.52,582.0,24.52,4.2131,290271.06,17694513.705
,20260407,608.0,636.66,597.7,619.53,606.52,13.01,2.145,239030.65,14668397.049
,20260408,653.53,688.26,643.0,688.14,619.53,68.61,11.0745,396629.74,26479882.607
,20260409,682.0,700.0,678.01,693.02,688.14,4.88,0.7092,249619.27,17248692.687
,20260410,700.0,743.04,694.01,734.65,693.02,41.63,6.007,330800.75,23842833.151
,20260413,738.8,744.0,714.23,738.0,734.65,3.35,0.456,228876.18,16730510.499
,20260414,750.0,786.22,748.78,773.0,738.0,35.0,4.7425,292668.36,22475999.264
,20260415,787.0,808.83,766.0,779.98,773.0,6.98,0.903,323452.47,25441092.938
